Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_payload_tdest[1:0],top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_payload_last,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_ready,top_i/DataPath_xN_0/U0/coreArea_0_core/axi/int_bus_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_payload_last,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_from_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/io_input_valid,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_0,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_1,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_2,top_i/DataPath_xN_0/U0/coreArea_0_core/node/node/multiCore_hit_3,top_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_prefill,top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_0_core/stateGen_4/status_layerCnt[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
1,1,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
2,2,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
3,3,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
4,4,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
5,5,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
6,6,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
7,7,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
8,8,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
9,9,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
10,10,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
11,11,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
12,12,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
13,13,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
14,14,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
15,15,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
16,16,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
17,17,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
18,18,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
19,19,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
20,20,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
21,21,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
22,22,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
23,23,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
24,24,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
25,25,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
26,26,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
27,27,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
28,28,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
29,29,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
30,30,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
31,31,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
32,32,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
33,33,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
34,34,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
35,35,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
36,36,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
37,37,0,4,5,3,0,0,1,1,0,0,0,0,0,0,0,0,00e,1f
