Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_2_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,3abf57a3,9c4a,1dbc,000,00,11,0,1,0,0
1,1,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
2,2,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
3,3,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
4,4,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
5,5,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
6,6,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
7,7,0,3abf57a3,9c4a,a40e,000,00,11,0,0,0,0
8,8,0,3abf5e4f,9c4a,a3ca,000,00,11,0,1,0,0
9,9,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
10,10,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
11,11,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
12,12,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
13,13,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
14,14,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
15,15,0,3abf5e4f,9c4a,a40e,000,00,11,0,0,0,0
16,16,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
17,17,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
18,18,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
19,19,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
20,20,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
21,21,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
22,22,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
23,23,0,3abf5e55,9c4a,a40e,000,00,11,0,0,0,0
24,24,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
25,25,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
26,26,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
27,27,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
28,28,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
29,29,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
30,30,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
31,31,0,3abf5fb8,9c4a,a40e,000,00,11,0,0,0,0
32,32,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
33,33,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
34,34,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
35,35,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
36,36,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
37,37,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
38,38,0,3abf5ffa,9c4a,a40e,000,00,11,0,0,0,0
39,39,0,3abf5ffa,9c4a,9f47,000,00,11,0,0,0,0
40,40,0,3abf61df,9c4a,25c3,000,00,11,0,0,0,0
41,41,0,3abf61df,9c4a,a0cc,000,00,11,0,0,0,0
42,42,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
43,43,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
44,44,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
45,45,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
46,46,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
47,47,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
48,48,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
49,49,0,3abf61df,9c4a,14a0,000,00,11,0,0,0,0
50,50,0,3abf61df,9c4a,a4fc,000,00,11,0,0,0,0
51,51,0,3abf61df,9c4a,21d4,000,00,11,0,0,0,0
52,52,0,3abf61df,9c4a,a771,000,00,11,0,0,0,0
53,53,0,3abf61df,9c4a,28aa,000,00,11,0,0,0,0
54,54,0,3abf61df,9c4a,a08d,000,00,11,0,0,0,0
55,55,0,3abf61df,9c4a,28bf,000,00,11,0,0,0,0
56,56,0,3abf61df,9c4a,a95f,000,00,11,0,0,0,0
57,57,0,3abf61df,9c4a,a63a,000,00,11,0,0,0,0
58,58,0,3abf61df,9c4a,2867,000,00,11,0,0,0,0
59,59,0,3abf61df,9c4a,a7df,000,00,11,0,0,0,0
60,60,0,3abf61df,9c4a,21fa,000,00,11,0,0,0,0
61,61,0,3abf61df,9c4a,24e1,000,00,11,0,0,0,0
62,62,0,3abf61df,9c4a,a226,000,00,11,0,0,0,0
63,63,0,3abf61df,9c4a,25ec,000,00,11,0,0,0,0
64,64,0,3abf61df,9c4a,27fc,000,00,11,0,0,0,0
65,65,0,3abf61df,9c4a,a317,000,00,11,0,0,0,0
66,66,0,3abf61df,9c4a,a2e1,000,00,11,0,1,0,0
67,67,0,3abf61df,9c4a,9c6a,000,00,11,0,0,0,0
68,68,0,3abf61df,9c4a,9ea1,000,00,11,0,0,0,0
69,69,0,3abf61df,9c4a,9b21,000,00,11,0,0,0,0
70,70,0,3abf61df,9c4a,210d,000,00,11,0,1,0,0
71,71,0,3abf61df,9c4a,255a,000,00,11,0,0,0,0
72,72,0,3abf61df,9c4a,1c05,000,00,11,0,0,0,0
73,73,0,3abf61df,9c4a,289e,000,00,11,0,0,0,0
74,74,0,3abf61df,9c4a,1d50,000,00,11,0,1,0,0
75,75,0,3abf61df,9c4a,a8c0,000,00,11,0,0,0,0
76,76,0,3abf61df,9c4a,2544,000,00,11,0,0,0,0
77,77,0,3abf61df,9c4a,08ed,000,00,11,0,0,0,0
78,78,0,3abf61df,9c4a,a228,000,00,11,0,1,0,0
79,79,0,3abf61df,9c4a,1931,000,00,11,0,0,0,0
80,80,0,3abf61df,9c4a,a2f6,000,00,11,0,0,0,0
81,81,0,3abf61df,9c4a,9dea,000,00,11,0,0,0,0
82,82,0,3abf61df,9c4a,1f7a,000,00,11,0,1,0,0
83,83,0,3abf61df,9c4a,96ac,000,00,11,0,0,0,0
84,84,0,3abf61df,9c4a,a39e,000,00,11,0,0,0,0
85,85,0,3abf61df,9c4a,98b6,000,00,11,0,0,0,0
86,86,0,3abf61df,9c4a,20d0,000,00,11,0,1,0,0
87,87,0,3abf61df,9c4a,254f,000,00,11,0,0,0,0
88,88,0,3abf61df,9c4a,2435,000,00,11,0,0,0,0
89,89,0,3abf61df,9c4a,a0a5,000,00,11,0,0,0,0
90,90,0,3abf61df,9c4a,29a0,000,00,11,0,1,0,0
91,91,0,3abf61df,9c4a,98a2,000,00,11,0,0,0,0
92,92,0,3abf61df,9c4a,a46c,000,00,11,0,0,0,0
93,93,0,3abf61df,9c4a,a0a5,000,00,11,0,0,0,0
94,94,0,3abf61df,9c4a,ab03,000,00,11,0,1,0,0
95,95,0,3abf61df,9c4a,265c,000,00,11,0,0,0,0
96,96,0,3abf61df,9c4a,a761,000,00,11,0,0,0,0
97,97,0,3abf61df,9c4a,2594,000,00,11,0,0,0,0
98,98,0,3abf635a,9c4a,a8f3,000,00,11,0,1,0,0
